,ozellik-1,ozellik-2,ozellik-3,ozellik-4,ozellik-5,ozellik-6,ozellik-7,cikis
0,-1.4080093652163415,-7.6656452619446025,-7.238232614974349,8.27005204886454,2.316332076510735,7.78069725994181,8.746140758288522,1
1,-2.3607238576457528,9.518346596580436,1.8483606179808003,9.62115643470663,-8.37008940851254,1.6157250616275787,7.208178980641894,0
2,-3.6768645865711664,9.766196950795905,0.8032334518724678,7.475693012048605,-8.519747478526474,4.371835533376637,5.475342832122751,0
3,-3.5360115449773155,7.943393253823311,2.466308517360952,7.327269280782561,-8.002647507690526,2.893346486968285,6.109700648700899,0
4,-2.0678749672364374,-7.97208209199672,-6.502296341906801,7.715615155473072,2.5015746755858514,8.161800046756444,9.47050202902454,1
5,-0.28823805390945245,-10.032169854778331,-7.320400770284544,8.26463416358219,3.3886860320889873,6.893255880322362,8.40759237965968,1
6,-2.2465373604099295,-8.924719113107322,-10.011248327287621,7.8050622666702125,1.665680577622587,7.034185268842424,8.84627641565344,1
7,-5.187945002464084,8.071173917495804,2.5232536305470505,7.8710758424359755,-9.927078299188638,4.439386149761715,4.653078811386734,0
8,-5.025813639364426,8.189108803363835,1.52014555347068,7.139750809848012,-8.510500563447163,3.511071804649994,6.627993088729539,0
9,-1.7605137049422468,-7.362867720722631,-6.135267601323325,5.347097559550722,3.2461661089994696,7.616855959506782,9.833635553062324,1
10,-1.917446344007835,-6.256875845025128,-8.603368816189072,6.455530911917709,3.2439734406596377,5.878517072862599,7.6781369306593135,1
11,-4.019250176183511,9.069541134138046,0.6186630513912524,8.943576943599716,-6.8292816190081895,4.621078318449683,4.770326974785823,0
12,-3.805199874221417,10.253681431603988,-0.8765315407282293,8.315751179849439,-8.035090008230188,4.047607789994267,5.742618977619547,0
13,-3.008719335197853,-8.113345333330917,-8.286408491745064,9.167916778320338,1.0537502239998573,6.833496299232575,9.909542169516591,1
14,-1.7176297105507123,-9.169741774522791,-7.389305928580768,7.409388391309325,2.2088293035161533,6.501303346393084,9.161556830397243,1
15,-5.659852546419298,9.559751235475307,1.4138731955778447,8.524939189379571,-7.594522068414088,1.8068120780277193,4.807872595536795,0
16,-3.696330568791203,-9.58811908980281,-9.133155519018665,6.453178026278088,3.104826356663321,6.1120259779928965,6.957282634781259,1
17,-2.9666225528871673,-7.719004807650406,-9.520311690667098,7.4687927571737935,3.453967924985636,5.856767836376157,8.463606608856603,1
18,-4.148955907870525,10.18504608044074,0.2639285841415532,6.6930967010438875,-6.554904022664267,2.6383026600532453,7.986204281043962,0
19,-2.714064768430683,-7.475988338548676,-9.359708476935374,5.481378413441863,2.6248132596225995,5.735548934509582,8.015218948596917,1
20,-4.966141962593881,8.042685494022704,-1.7279852507891662,9.259175191825666,-8.136606042740201,4.436855686903982,4.543730504116822,0
21,-1.4125599883227289,-6.991306502822515,-8.946599460569722,7.314985131260731,3.5049923096511675,5.262321285071845,8.646422585094323,1
22,-4.802466425979071,9.420097711538176,1.5449725163632522,8.405208661190372,-6.839195318658505,3.8090814717549746,7.140846550294848,0
23,-4.996930565313087,11.075939150269171,0.5433709608534733,9.160396514041167,-8.562251952932357,2.853074005305378,5.949632749868381,0
24,-3.089704226959113,-8.983437243996674,-10.15133533766781,7.882599682207938,3.2487749524819023,5.969243162182687,8.111150067127525,1
25,-3.0259733987936017,9.493900613539918,2.173290074200348,7.868640962270484,-7.11064659356593,3.700588211820467,4.863526910094803,0
26,-1.7883093150679334,-8.561358931501358,-8.516248932458938,6.858475668680588,0.7732986019859998,6.9974141705124495,7.973374988471763,1
